Datetime,Forecast_MW
2018-08-08 03:00:00,12441.02362694319
2018-08-08 04:00:00,12199.931077765244
2018-08-08 05:00:00,12245.00778667042
2018-08-08 06:00:00,12630.237193960942
2018-08-08 07:00:00,13257.743320888083
2018-08-08 08:00:00,13849.051407892533
2018-08-08 09:00:00,14507.026872149732
2018-08-08 10:00:00,15148.873263392154
2018-08-08 11:00:00,15876.462507408673
2018-08-08 12:00:00,16470.12242018805
2018-08-08 13:00:00,17070.89698193534
2018-08-08 14:00:00,17582.553273717796
2018-08-08 15:00:00,17905.960708192684
2018-08-08 16:00:00,18078.865120841372
2018-08-08 17:00:00,18167.285527072927
2018-08-08 18:00:00,18111.930339511877
2018-08-08 19:00:00,17792.540986413685
2018-08-08 20:00:00,17345.135615356263
2018-08-08 21:00:00,16914.326041649296
2018-08-08 22:00:00,16576.418340879627
2018-08-08 23:00:00,15600.11986376605
2018-08-09 00:00:00,14434.014836590419
2018-08-09 01:00:00,13519.458335074754
2018-08-09 02:00:00,12844.631122727611
2018-08-09 03:00:00,12441.443417344712
2018-08-09 04:00:00,12200.295349479002
2018-08-09 05:00:00,12245.086570733829
2018-08-09 06:00:00,12629.898621298295
2018-08-09 07:00:00,13256.85917814608
2018-08-09 08:00:00,13848.000161629705
2018-08-09 09:00:00,14506.292243078438
2018-08-09 10:00:00,15148.502236538998
2018-08-09 11:00:00,15875.9607235486
2018-08-09 12:00:00,16469.473302569182
2018-08-09 13:00:00,17069.76900867641
2018-08-09 14:00:00,17581.026632761084
2018-08-09 15:00:00,17903.976130404983
2018-08-09 16:00:00,18076.515514777002
2018-08-09 17:00:00,18164.998145563666
2018-08-09 18:00:00,18110.314927611027
2018-08-09 19:00:00,17791.230750225255
2018-08-09 20:00:00,17343.902289594207
2018-08-09 21:00:00,16913.10365357683
2018-08-09 22:00:00,16575.147297648105
2018-08-09 23:00:00,15599.021586861094
2018-08-10 00:00:00,14432.905896153305
